function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
rosenbrock,20,0.0,lr_adapt_proxy,10,7652.1449341897915,8376.64928295837,-123.74279674541094,0.5,0.5,0.625,1.0946799041313884,0.7692307692307693
rosenbrock,20,0.0,phasewall_plus_lr_tuned,10,7652.1449341897915,7357.381311572484,-419.55125805651505,0.6,0.4,0.845703125,0.9614796079854286,0.9020833333333333
rosenbrock,20,0.0,phasewall_tuned,10,7652.1449341897915,6224.220626968614,-1477.7329585743933,0.6,0.4,0.431640625,0.8133955486335328,0.6612367021276596
rosenbrock,20,0.0,pop4x,10,7652.1449341897915,47269.413036094455,39401.83260551817,0.0,1.0,0.001953125,6.177276233346635,0.016544117647058824
rosenbrock,20,0.1,lr_adapt_proxy,10,7652.118835518616,8376.626724363443,-123.76919326092911,0.5,0.5,0.625,1.0946806896779884,0.7692307692307693
rosenbrock,20,0.1,phasewall_plus_lr_tuned,10,7652.118835518616,7357.476735911487,-419.50772188163273,0.6,0.4,0.845703125,0.9614953575682205,0.9020833333333333
rosenbrock,20,0.1,phasewall_tuned,10,7652.118835518616,6224.21955616704,-1477.5354802635488,0.6,0.4,0.431640625,0.8133981829027879,0.6612367021276596
rosenbrock,20,0.1,pop4x,10,7652.118835518616,47269.47964589495,39401.9416259912,0.0,1.0,0.001953125,6.177306006603764,0.016544117647058824
rosenbrock,20,0.2,lr_adapt_proxy,10,7652.140466891313,8376.606096592706,-123.9366115912785,0.5,0.5,0.625,1.094674899505041,0.7692307692307693
rosenbrock,20,0.2,phasewall_plus_lr_tuned,10,7652.140466891313,7357.161190256045,-419.5786306976388,0.6,0.4,0.845703125,0.961451403314986,0.9020833333333333
rosenbrock,20,0.2,phasewall_tuned,10,7652.140466891313,6224.063329949839,-1478.046467808546,0.6,0.4,0.431640625,0.8133754675413543,0.6612367021276596
rosenbrock,20,0.2,pop4x,10,7652.140466891313,47269.468139474426,39402.10004344239,0.0,1.0,0.001953125,6.177287040664804,0.016544117647058824
rosenbrock,40,0.0,lr_adapt_proxy,10,110716.14367605966,78490.22517309219,-39984.756994093485,0.7,0.3,0.193359375,0.7089320722978203,0.43505859375
rosenbrock,40,0.0,phasewall_plus_lr_tuned,10,110716.14367605966,87418.92646523882,-31259.373322205094,0.6,0.4,0.431640625,0.7895770531984448,0.6612367021276596
rosenbrock,40,0.0,phasewall_tuned,10,110716.14367605966,134581.17983914958,22015.37949952543,0.3,0.7,0.6953125,1.2155515480462882,0.834375
rosenbrock,40,0.0,pop4x,10,110716.14367605966,206598.0678851698,110885.8568417913,0.1,0.9,0.083984375,1.8660157500576209,0.2629076086956522
rosenbrock,40,0.1,lr_adapt_proxy,10,110716.21406358575,78490.21403725646,-39984.80556042613,0.7,0.3,0.193359375,0.7089315210162309,0.43505859375
rosenbrock,40,0.1,phasewall_plus_lr_tuned,10,110716.21406358575,87419.00854529176,-31259.510100441996,0.6,0.4,0.431640625,0.7895772925823302,0.6612367021276596
rosenbrock,40,0.1,phasewall_tuned,10,110716.21406358575,134581.18879658633,22015.410264876948,0.3,0.7,0.6953125,1.2155508561672332,0.834375
rosenbrock,40,0.1,pop4x,10,110716.21406358575,206598.17003104108,110885.66800054794,0.1,0.9,0.083984375,1.8660154863350826,0.2629076086956522
rosenbrock,40,0.2,lr_adapt_proxy,10,110716.27292231002,78490.34797466287,-39984.899436318745,0.7,0.3,0.193359375,0.708932353871231,0.43505859375
rosenbrock,40,0.2,phasewall_plus_lr_tuned,10,110716.27292231002,87418.83439637732,-31259.511166391203,0.6,0.4,0.431640625,0.7895752998994051,0.6612367021276596
rosenbrock,40,0.2,phasewall_tuned,10,110716.27292231002,134581.35575265356,22015.21714596353,0.3,0.7,0.6953125,1.215551717922168,0.834375
rosenbrock,40,0.2,pop4x,10,110716.27292231002,206598.02740424543,110885.80014284473,0.1,0.9,0.083984375,1.8660132061094212,0.2629076086956522
sphere,10,0.0,lr_adapt_proxy,10,2.6586267659863463,2.8440687028526748,-0.10068164708227967,0.5,0.5,0.76953125,1.0697510230615352,0.86572265625
sphere,10,0.0,phasewall_plus_lr_tuned,10,2.6586267659863463,3.741291198706259,0.8674639926102796,0.3,0.7,0.4921875,1.4072269363158412,0.7232142857142857
